Total details with discrepancy/damage for session d1d3b0cd-08e4-4bae-af6d-6afa729b78cd: 288
137: I100116 | Khế xanh                       | HT: -6.68    | TT: 0.2      | Huy: 0        | Lệch: -6.88    | Ghi chú: "Điều chỉnh tăng từ Excel"
138: I100058 | Chanh ĐaLat                    | HT: -6       | TT: 0.7      | Huy: 0        | Lệch: -6.7     | Ghi chú: "Điều chỉnh tăng từ Excel"
139: I100489 | Lê trái                        | HT: -6.4     | TT: 0.3      | Huy: 0        | Lệch: -6.7     | Ghi chú: "Điều chỉnh tăng từ Excel"
140: I100503 | Táo đỏ trái                    | HT: -6.5     | TT: 0        | Huy: 0        | Lệch: -6.5     | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
141: I100155 | Ngò om                         | HT: -6.02    | TT: 0        | Huy: 0        | Lệch: -6.02    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
142: I101133 | Kèo nèo bó                     | HT: -6       | TT: 0        | Huy: 0        | Lệch: -6       | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
143: I100536 | Lá Trâm Ổi                     | HT: -5.3     | TT: 0        | Huy: 0.5      | Lệch: -5.8     | Ghi chú: "Điều chỉnh tăng từ Excel"
144: I100580 | Cải bẹ xanh nước               | HT: -5.8     | TT: 0        | Huy: 0        | Lệch: -5.8     | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
145: I100206 | Xà lách lolo tím               | HT: -3.1     | TT: 2.7      | Huy: 0        | Lệch: -5.8     | Ghi chú: "Điều chỉnh tăng từ Excel"
146: I100511 | Xoài Keo                       | HT: -5.56    | TT: 0        | Huy: 0        | Lệch: -5.56    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
147: I101127 | Thơm xanh (kg)                 | HT: -5.3     | TT: 0        | Huy: 0        | Lệch: -5.3     | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
148: I100187 | Rau nhút                       | HT: -5.2     | TT: 0        | Huy: 0        | Lệch: -5.2     | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
149: I100015 | Bí ngòi vàng                   | HT: -0.2     | TT: 5        | Huy: 0        | Lệch: -5.2     | Ghi chú: "Điều chỉnh tăng từ Excel"
150: I100547 | BẮP CẢI TRÁI TIM               | HT: -5       | TT: 0        | Huy: 0        | Lệch: -5       | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
151: I100820 | Đậu đỏ                         | HT: -5       | TT: 0        | Huy: 0        | Lệch: -5       | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
152: I100219 | Thì là                         | HT: -5       | TT: 0        | Huy: 0        | Lệch: -5       | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
153: I100578 | Khoai môn gọt vỏ               | HT: -5       | TT: 0        | Huy: 0        | Lệch: -5       | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
154: I100271 | Trứng cút                      | HT: -5       | TT: 0        | Huy: 0        | Lệch: -5       | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
155: I100204 | Xà lách carol                  | HT: -4.5     | TT: 0        | Huy: 0.5      | Lệch: -5       | Ghi chú: "Điều chỉnh tăng từ Excel"
156: I100238 | Nấm hải sản                    | HT: -5       | TT: 0        | Huy: 0        | Lệch: -5       | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
157: I100157 | Ngó sen chẻ                    | HT: -5       | TT: 0        | Huy: 0        | Lệch: -5       | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
158: I100203 | Xà lách búp mỹ                 | HT: -5       | TT: 0        | Huy: 0        | Lệch: -5       | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
159: I100122 | Khoai lang tím                 | HT: -5       | TT: 0        | Huy: 0        | Lệch: -5       | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
160: I100716 | Xoài Cát Chu                   | HT: -4.85    | TT: 0        | Huy: 0        | Lệch: -4.85    | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
161: I100056 | Cần tàu                        | HT: -4.8     | TT: 0        | Huy: 0        | Lệch: -4.8     | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
162: I100160 | Ngò tây                        | HT: -4.7     | TT: 0        | Huy: 0        | Lệch: -4.7     | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
163: I100626 | Rau má nhỏ                     | HT: -3.5     | TT: 1        | Huy: 0        | Lệch: -4.5     | Ghi chú: "Điều chỉnh tăng từ Excel"
164: I100177 | Rau đay                        | HT: -4.5     | TT: 0        | Huy: 0        | Lệch: -4.5     | Ghi chú: "Tự động reset kho âm (không có trong Excel)"
